lon,short_name,name,eightd_station_services,capacity,eightd_has_key_dispenser,has_kiosk,station_type,lat,electric_bike_surcharge_waiver,legacyID,stationID,externalID,dockless_bikes_parking_zone_capacity,address,rack_model,region_code,client_station_id
-87.6280518,undefined,S Wentworth Ave & W 111th St,[],5,false,false,lightweight,41.6926176,false,1448642162257565286,1448642162257565286,motivate_CHI_1448642162257565286,5,"207, West 111th Street, Morgan Park, Chicago, Cook County, Illinois, 60643, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1448642162257565286
-87.6834204,undefined,Western Ave & 62nd St,[],9,false,false,lightweight,41.780985,false,1582242323927553626,1582242323927553626,motivate_CHI_1582242323927553626,9,"2387, West 62nd Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1582242323927553626
-87.67559,undefined,Damen Ave & 33rd St,[],9,false,false,lightweight,41.834108,false,1594046362333434512,1594046362333434512,motivate_CHI_1594046362333434512,9,"Damen & 33rd Street, West 33rd Street, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60608, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046362333434512
-87.701818,undefined,Albany Ave & 16th St,[],9,false,false,lightweight,41.859339,false,1594046396693172926,1594046396693172926,motivate_CHI_1594046396693172926,9,"Ogden & Albany, West Ogden Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046396693172926
-87.6974,undefined,Mozart St & Jackson Blvd,[],6,false,false,lightweight,41.877507,false,1594046388103238324,1594046388103238324,motivate_CHI_1594046388103238324,6,"2828-2834, West Jackson Boulevard, East Garfield Park, Chicago, Cook County, Illinois, 60644, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046388103238324
-87.7749283,undefined,Mason Ave & Belmont Ave,[],9,false,false,lightweight,41.9381419,false,1563698718386161684,1563698718386161684,motivate_CHI_1563698718386161684,9,"North Mason Avenue, Beat 2514, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1563698718386161684
-87.699696,undefined,Sacramento Ave & 25th St,[],9,false,false,lightweight,41.848166,false,1594046400988140226,1594046400988140226,motivate_CHI_1594046400988140226,9,"Spry Elementary School, West 24th Street, Bohemian California, South Lawndale, Chicago, Cook County, Illinois, 60623, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046400988140226
-87.631282,undefined,N Clark St & W Elm St,[],4,false,false,lightweight,41.902901,false,1436495096608724634,1436495096608724634,motivate_CHI_1436495096608724634,4,"75, West Elm Street, Near North Side, Chicago, Cook County, Illinois, 60610, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1436495096608724634
-87.531067,undefined,Steelworkers Park,[],6,false,false,lightweight,41.738246,false,1448642188027369090,1448642188027369090,motivate_CHI_1448642188027369090,6,"Tribute to the Past, East 87th Street, South Chicago, Chicago, Cook County, Illinois, 60617, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1448642188027369090
-87.7300171,undefined,Keeler Ave & Roosevelt Rd,[],9,false,false,lightweight,41.866402,false,1561012870126088746,1561012870126088746,motivate_CHI_1561012870126088746,9,"1146-1152, South Keeler Avenue, West Garfield Park, Chicago, Cook County, Illinois, 60623, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1561012870126088746
